"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"11/23/2016","1479859200","86250939.87500","840.94666378125","9.75"
"11/24/2016","1479945600","86283337.53125","793.8067052875","9.20"
"11/25/2016","1480032000","86316772.37500","812.24082804875","9.41"
"11/26/2016","1480118400","86349268.31250","804.7751806725","9.32"
"11/27/2016","1480204800","86382979.40625","766.2170273334375","8.87"
"11/28/2016","1480291200","86416919.25000","750.09885909","8.68"
"11/29/2016","1480377600","86449890.34375","707.160103011875","8.18"
"11/30/2016","1480464000","86481730.34375","743.74288095625","8.60"
"12/1/2016","1480550400","86513478.62500","731.9040291675","8.46"
"12/2/2016","1480636800","86545275.03125","667.2640704909375","7.71"
"12/3/2016","1480723200","86577391.43750","683.095618441875","7.89"
"12/4/2016","1480809600","86608563.93750","653.02857208875","7.54"
"12/5/2016","1480896000","86639798.62500","577.88745682875","6.67"
"12/6/2016","1480982400","86671774.25000","668.2393794675","7.71"
"12/7/2016","1481068800","86703484.87500","723.97409870625","8.35"
"12/8/2016","1481155200","86735578.93750","719.90530518125","8.30"
"12/9/2016","1481241600","86767239.56250","737.52153628125","8.50"
"12/10/2016","1481328000","86798915.96875","702.2032301871875","8.09"
"12/11/2016","1481414400","86830698.00000","712.0117236","8.20"
"12/12/2016","1481500800","86862037.37500","733.98421581875","8.45"
"12/13/2016","1481587200","86893847.37500","730.77725642375","8.41"
"12/14/2016","1481673600","86925697.84375","714.529236275625","8.22"
"12/15/2016","1481760000","86957065.65625","675.6564001490625","7.77"
"12/16/2016","1481846400","86988822.06250","684.602029631875","7.87"
"12/17/2016","1481932800","87020784.40625","667.4494163959375","7.67"
"12/18/2016","1482019200","87052676.90625","685.97509402125","7.88"
"12/19/2016","1482105600","87084147.37500","662.71036152375","7.61"
"12/20/2016","1482192000","87115816.28125","661.2090455746875","7.59"
"12/21/2016","1482278400","87147409.25000","685.8501107975","7.87"
"12/22/2016","1482364800","87178483.31250","666.915397340625","7.65"
"12/23/2016","1482451200","87209600.65625","623.5486446921875","7.15"
"12/24/2016","1482537600","87240927.53125","630.7519060509375","7.23"
"12/25/2016","1482624000","87272935.96875","627.4924096153125","7.19"
"12/26/2016","1482710400","87304580.65625","632.08516395125","7.24"
"12/27/2016","1482796800","87335807.21875","624.4510216140625","7.15"
"12/28/2016","1482883200","87367378.62500","666.61309890875","7.63"
"12/29/2016","1482969600","87399197.37500","720.16938637","8.24"
"12/30/2016","1483056000","87430878.93750","714.310280919375","8.17"
"12/31/2016","1483142400","87462107.06250","703.1953407825","8.04"
"1/1/2017","1483228800","87493855.34375","713.0749210515625","8.15"
"1/2/2017","1483315200","87525386.12500","729.08646642125","8.33"
"1/3/2017","1483401600","87556909.40625","847.5508830525","9.68"
"1/4/2017","1483488000","87589008.93750","955.596087508125","10.91"
"1/5/2017","1483574400","87620825.96875","892.8562166215625","10.19"
"1/6/2017","1483660800","87652185.50000","882.657507985","10.07"
"1/7/2017","1483747200","87684080.50000","859.3039889","9.80"
"1/8/2017","1483833600","87715764.87500","902.59522056375","10.29"
"1/9/2017","1483920000","87747515.18750","897.657080368125","10.23"
"1/10/2017","1484006400","87778864.56250","926.94480978","10.56"
"1/11/2017","1484092800","87810387.53125","861.4199016815625","9.81"
"1/12/2017","1484179200","87841944.25000","860.85105365","9.80"
"1/13/2017","1484265600","87873674.56250","857.64706373","9.76"
"1/14/2017","1484352000","87905152.68750","858.833341756875","9.77"
"1/15/2017","1484438400","87936854.71875","866.1780189796875","9.85"
"1/16/2017","1484524800","87968395.03125","843.6169083496875","9.59"
"1/17/2017","1484611200","87999691.12500","893.19686491875","10.15"
"1/18/2017","1484697600","88031299.09375","897.0389377653125","10.19"
"1/19/2017","1484784000","88063420.18750","916.740204151875","10.41"
"1/20/2017","1484870400","88094541.28125","932.9211921684375","10.59"
"1/21/2017","1484956800","88126065.03125","963.2178907915625","10.93"
"1/22/2017","1485043200","88157642.84375","942.4052019996875","10.69"
"1/23/2017","1485129600","88189141.28125","949.7970515990625","10.77"
"1/24/2017","1485216000","88220561.75000","927.1981039925","10.51"
"1/25/2017","1485302400","88251985.34375","926.645846109375","10.50"
"1/26/2017","1485388800","88283770.03125","940.2221508328125","10.65"
"1/27/2017","1485475200","88314884.87500","927.3062911875","10.50"
"1/28/2017","1485561600","88346412.84375","930.2877272446875","10.53"
"1/29/2017","1485648000","88377545.96875","925.3129062928125","10.47"
"1/30/2017","1485734400","88409461.28125","932.7198165171875","10.55"
"1/31/2017","1485820800","88440875.18750","946.31736450625","10.70"
"2/1/2017","1485907200","88472207.37500","947.53734098625","10.71"
"2/2/2017","1485993600","88503622.21875","954.9540837403125","10.79"
"2/3/2017","1486080000","88534895.50000","968.57175677","10.94"
"2/4/2017","1486166400","88566656.28125","1002.57454910375","11.32"
"2/5/2017","1486252800","88598257.84375","993.1864704284375","11.21"
"2/6/2017","1486339200","88629881.43750","1003.2902578725","11.32"
"2/7/2017","1486425600","88661372.84375","1014.2861053325","11.44"
"2/8/2017","1486512000","88693080.81250","1010.214190454375","11.39"
"2/9/2017","1486598400","88724508.00000","969.75887244","10.93"
"2/10/2017","1486684800","88756004.40625","1004.71796987875","11.32"
"2/11/2017","1486771200","88787594.25000","1013.0664503925","11.41"
"2/12/2017","1486857600","88819163.93750","1012.5384688875","11.40"
"2/13/2017","1486944000","88850898.00000","1012.01172822","11.39"
"2/14/2017","1487030400","88882368.93750","1154.581972498125","12.99"
