/*risultati da verificare*/

year(t.timestamp),month(t.timestamp),day(t.timestamp),"count(distinct i.id)/count(distinct t.txid)","count(distinct o.id)/count(distinct t.txid)"
2015,7,23,1.0000,1.0000
2015,7,24,1.0000,1.0000
2015,7,25,1.0000,1.0000
2015,7,26,1.0000,1.0000
2015,7,27,1.0000,1.0000
2015,7,28,1.0000,1.0000
2015,7,29,1.0000,1.0000
2015,7,30,1.0000,1.0000
2015,7,31,1.0000,1.0000
2015,8,1,1.0000,1.0000
2015,8,2,1.0000,1.0000
2015,8,3,1.0000,1.0000
2015,8,4,1.0000,1.0000
2015,8,5,1.0000,1.0000
2015,8,6,1.0000,1.0000
2015,8,7,1.0000,1.0000
2015,8,8,1.0000,1.0000
2015,8,9,1.0000,1.0000
2015,8,10,1.0000,1.0000
2015,8,11,1.0000,1.0000
2015,8,12,1.0000,1.0000
2015,8,13,1.0000,1.0000
2015,8,14,1.0000,1.0000
2015,8,15,1.0000,1.0000
2015,8,16,1.0000,1.0000
2015,8,17,1.0000,1.0000
2015,8,18,1.0000,1.0000
2015,8,19,1.0000,1.0000
2015,8,20,1.0000,1.0000
2015,8,21,1.0000,1.0000
2015,8,22,1.0000,1.0000
2015,8,23,1.0000,1.0000
2015,8,24,1.0000,1.0000
2015,8,25,1.0000,1.0000
2015,8,26,1.0000,1.0000
2015,8,27,1.0000,1.0000
2015,8,28,1.0000,1.0000
2015,8,29,1.0000,1.0000
2015,8,30,1.0000,1.0000
2015,8,31,1.0000,1.0000
2015,9,1,1.0000,1.0000
2015,9,2,1.0000,1.0000
2015,9,3,1.0000,1.0000
2015,9,4,1.0000,1.0000
2015,9,5,1.0000,1.0000
2015,9,6,1.0000,1.0000
2015,9,7,1.0000,1.0000
2015,9,8,1.0000,1.0000
2015,9,9,1.0000,1.0000
2015,9,10,1.0000,1.0000
2015,9,11,1.0000,1.0000
2015,9,12,1.0000,1.0000
2015,9,13,1.0000,1.0000
2015,9,14,1.0000,1.0000
2015,9,15,1.0000,1.0000
2015,9,16,1.0000,1.0000
2015,9,17,1.0000,1.0000
2015,9,18,1.0000,1.0000
2015,9,19,1.0000,1.0000
2015,9,20,1.0000,1.0000
2015,9,21,1.0000,1.0000
2015,9,22,1.0000,1.0000
2015,9,23,1.0000,1.0000
2015,9,24,1.0000,1.0000
2015,9,25,1.0000,1.0000
2015,9,26,1.0000,1.0000
2015,9,27,1.0000,1.0000
2015,9,28,1.0000,1.0000
2015,9,29,1.0000,1.0000
2015,9,30,1.0000,1.0000
2015,10,1,1.0000,1.0000
2015,10,2,1.0000,1.0000
2015,10,3,1.0000,1.0000
2015,10,4,1.0000,1.0000
2015,10,5,1.0000,1.0000
2015,10,6,1.0000,1.0000
2015,10,7,1.0000,1.0000
2015,10,8,1.0000,1.0000
2015,10,9,1.0000,1.0000
2015,10,10,1.0000,1.0000
2015,10,11,1.0000,1.0000
2015,10,12,1.0000,1.0000
2015,10,13,1.0000,1.0000
2015,10,14,1.0000,1.0000
2015,10,15,1.0000,1.0000
2015,10,16,1.0000,1.0000
2015,10,17,1.0000,1.0000
2015,10,18,1.0000,1.0000
2015,10,19,1.0000,1.0000
2015,10,20,1.0000,1.0000
2015,10,21,1.0000,1.0000
2015,10,22,1.0000,1.0000
2015,10,23,1.0000,1.0000
2015,10,24,1.0000,1.0000
2015,10,25,1.0000,1.0000
2015,10,26,1.0000,1.0000
2015,10,27,1.0000,1.0000
2015,10,28,1.0000,1.0000
2015,10,29,1.0000,1.0000
2015,10,30,1.0000,1.0000
2015,10,31,1.0000,1.0000
2015,11,1,1.0000,1.0000
2015,11,2,1.0000,1.0000
2015,11,3,1.0000,1.0000
2015,11,4,1.0000,1.0000
2015,11,5,1.0000,1.0000
2015,11,6,1.0000,1.0000
2015,11,7,1.0000,1.0000
2015,11,8,1.0000,1.0000
2015,11,9,1.0000,1.0000
2015,11,10,1.0000,1.0000
2015,11,11,1.0000,1.0000
2015,11,12,1.0000,1.0000
2015,11,13,1.0000,1.0000
2015,11,14,1.0000,1.0000
2015,11,15,1.0000,1.0000
2015,11,16,1.0000,1.0000
2015,11,17,1.0000,1.0000
2015,11,18,1.0000,1.0000
2015,11,19,1.0000,1.0000
2015,11,20,1.0000,1.0000
2015,11,21,1.0000,1.0000
2015,11,22,1.0000,1.0000
2015,11,23,1.0000,1.0000
2015,11,24,1.0000,1.0000
2015,11,25,1.0000,1.0000
2015,11,26,1.0000,1.0000
2015,11,27,1.0000,1.0000
2015,11,28,1.0000,1.0000
2015,11,29,1.0000,1.0000
2015,11,30,1.0000,1.0000
2015,12,1,1.0000,1.0000
2015,12,2,1.0000,1.0000
2015,12,3,1.0000,1.0000
2015,12,4,1.0000,1.0000
2015,12,5,1.0000,1.0000
2015,12,6,1.0000,1.0000
2015,12,7,1.0000,1.0000
2015,12,8,1.0000,1.0000
2015,12,9,1.0000,1.0000
2015,12,10,1.0000,1.0000
2015,12,11,1.0000,1.0000
2015,12,12,1.0000,1.0000
2015,12,13,1.0000,1.0000
2015,12,14,1.0000,1.0000
2015,12,15,1.0000,1.0000
2015,12,16,1.0000,1.0000
2015,12,17,1.0000,1.0000
2015,12,18,1.0000,1.0000
2015,12,19,1.0000,1.0000
2015,12,20,1.0000,1.0000
2015,12,21,1.0000,1.0000
2015,12,22,1.0000,1.0000
2015,12,23,1.0000,1.0000
2015,12,24,1.0000,1.0000
2015,12,25,1.0000,1.0000
2015,12,26,1.0000,1.0000
2015,12,27,1.0000,1.0000
2015,12,28,1.0000,1.0000
2015,12,29,1.0000,1.0000
2015,12,30,1.0000,1.0000
2015,12,31,1.0000,1.0000
2016,1,1,1.0000,1.0000
2016,1,2,1.0000,1.0000
2016,1,3,1.0000,1.0000
2016,1,4,1.0000,1.0000
2016,1,5,1.0000,1.0000
2016,1,6,1.0000,1.0000
2016,1,7,1.0000,1.0000
2016,1,8,1.0000,1.0000
2016,1,9,1.0000,1.0000
2016,1,10,1.0000,1.0000
2016,1,11,1.0000,1.0000
2016,1,12,1.0000,1.0000
2016,1,13,1.0000,1.0000
2016,1,14,1.0000,1.0000
2016,1,15,1.0000,1.0000
2016,1,16,1.0000,1.0000
2016,1,17,1.0000,1.0000
2016,1,18,1.0000,1.0000
2016,1,19,1.0000,1.0000
2016,1,20,1.0000,1.0000
2016,1,21,1.0000,1.0000
2016,1,22,1.0000,1.0000
2016,1,23,1.0000,1.0000
2016,1,24,1.0000,1.0000
